L_AuthCode,Town,Band_A,Band_B,Band_C,Band_D,Band_E,Band_F,Band_G,Band_H
E07000178,Blackbird Leys,1419.85,1656.49,1893.12,2129.77,2603.05,3076.34,3549.62,4259.54
E07000178,Littlemore,1446.16,1687.18,1928.2,2169.23,2651.28,3133.33,3615.39,4338.46
E07000178,Old Marston,1438.95,1678.77,1918.59,2158.42,2638.07,3117.72,3597.37,4316.84
E07000178,Risinghurst and Sandhills,1431.7,1670.31,1908.92,2147.54,2624.77,3102,3579.24,4295.08
E07000178,Unparished Areas OC,1418.17,1654.53,1890.88,2127.25,2599.97,3072.7,3545.42,4254.5
E07000177,Ambrosden,1319.77,1539.73,1759.69,1979.66,2419.59,2859.51,3299.43,3959.32
E07000177,Adderbury,1320.25,1540.29,1760.33,1980.38,2420.47,2860.55,3300.63,3960.76
E07000177,Banbury,1376.67,1606.11,1835.56,2065.01,2523.91,2982.8,3441.68,4130.02
E07000177,Bicester,1383.22,1613.75,1844.29,2074.83,2535.91,2996.98,3458.05,4149.66
E07000177,Bucknell,1329.08,1550.59,1772.1,1993.62,2436.65,2879.68,3322.7,3987.24
E07000177,Caversfield,1302.75,1519.86,1736.99,1954.12,2388.38,2822.62,3256.87,3908.24
E07000177,Claydon,1348.79,1573.59,1798.39,2023.19,2472.79,2922.39,3371.98,4046.38
E07000177,Deddington,1331.95,1553.94,1775.93,1997.93,2441.92,2885.9,3329.88,3995.86
E07000177,Duns Tew,1362.69,1589.79,1816.91,2044.03,2498.27,2952.49,3406.72,4088.06
E07000177,Epwell,1319.67,1759.56,1979.51,2419.41,2859.3,3299.18,3299.18,3959.02
E07000177,Fencott and Murcott,1310.9,1529.38,1747.86,1966.35,2403.32,2840.29,3277.25,3933.7
E07000177,Fritwell,1312.28,1530.99,1749.7,1968.42,2405.85,2843.28,3280.7,3936.84
E07000177,Godington,1295.26,1511.13,1727.01,1942.89,2374.65,2806.4,3238.15,3885.78
E07000177,Gosford and Water Eaton,1375.86,1605.16,1834.48,2063.79,2522.42,2981.03,3439.65,4127.58
E07000177,Hanwell,1322.38,1542.77,1763.17,1983.57,2424.37,2865.16,3305.95,3967.14
E07000177,Hethe,1328.77,1550.23,1771.69,1993.16,2436.09,2879.01,3321.93,3986.32
E07000177,Hornton,1336.19,1558.88,1781.58,2004.28,2449.38,2895.07,3340.47,4008.56
E07000177,Islip,1337.51,1560.42,1783.34,2006.26,2452.1,2897.93,3343.77,4012.52
E07000177,Kidlington,1394.29,1626.66,1859.05,2091.43,2556.2,3020.96,3485.72,4182.86
E07000177,Launton,1323.85,1544.48,1765.13,1985.77,2427.06,2868.34,3309.62,3971.54
E07000177,Middle Aston,1295.26,1511.13,1727.01,1942.89,2374.65,2806.4,3238.15,3885.78
E07000177,Milton,1296.61,1512.71,1728.81,1944.92,2377.13,2809.33,3241.53,3889.84
E07000177,Newton Purcell,1295.26,1511.13,1727.01,1942.89,2374.65,2806.4,3238.15,3885.78
E07000177,North Aston,1297.41,1513.64,1729.88,1946.12,2378.6,2911.07,3243.53,3892.24
E07000177,Oddington,1295.26,1511.13,1727.01,1942.89,2374.65,2806.4,3238.15,3885.78
E07000177,Piddington,1332.63,1554.72,1776.83,1998.94,2443.16,2887.36,3351.57,3997.88
E07000177,Prescote,1295.26,1511.13,1727.01,1942.89,2374.65,2806.4,3238.15,3885.78
E07000177,Somerton,1346.93,1571.41,1795.9,2020.39,2469.37,2918.34,3367.32,4040.78
E07000177,Stratton Audley,1332.89,1555.03,1777.18,1999.33,2443.63,2887.92,3332.22,3998.66
E07000177,Tadmarton,1323.31,1543.85,1764.41,1984.96,2426.07,2867.17,3308.27,3969.92
E07000177,Upper Heyford,1334.19,1565.55,1778.92,2001.29,2446.03,2890.76,3335.48,4002.58
E07000177,Wardington,1327.99,1549.32,1770.65,1991.99,2434.66,2877.32,3319.98,3983.98
E07000177,Yarnton,1354.51,1580.26,1806.01,2031.77,2483.28,2934.78,3386.28,4063.54
E07000181,Alvescot,1323.54,1544.12,1764.72,1985.31,2426.5,2867.67,3308.85,3970.62
E07000181,Asthal,1291.84,1507.13,1722.45,1937.75,2368.37,2798.97,3229.59,3975.02
E07000181,Blandon,1345.06,1569.22,1793.41,2017.58,2465.94,2914.28,3362.64,4035.16
E07000181,Blenheim,1275.85,1488.48,1701.13,1913.77,2339.06,2764.33,3189.62,3827.54
E07000181,Charlbury,1328.67,1550.1,1771.56,1993,2435.9,2878.77,3321.67,3986
E07000181,Chilson,1279.33,1492.54,1705.77,1918.99,2345.44,2930.57,3381.44,4057.72
E07000181,Ducklington,1313.33,1532.21,1751.1,1969.99,2407.77,2845.54,3283.32,3939.98
E07000181,Enstone,1314.06,1533.05,1752.07,1971.08,2409.11,2847.11,3285.14,3942.16
E07000181,Fawler,1275.85,1488.48,1701.13,1913.77,2339.06,2764.33,3189.62,3827.54
E07000181,Finstock,1328.76,1550.21,1771.68,1993.14,2436.07,2878.98,3321.9,3986.28
E07000181,Glympton,1275.85,1488.48,1701.13,1913.77,2339.06,2764.33,3189.62,3827.54
E07000181,Hailey,1322.88,1543.35,1763.84,1984.32,2425.29,2866.24,3307.2,3968.64
E07000181,Holwell,1275.85,1488.48,1701.13,1913.77,2339.06,2763.33,3189.62,3827.54
E07000181,Idbury,1282.09,1495.76,1709.45,1923.13,2350.5,2777.85,3205.22,3846.26
E07000181,Kingham,1325.88,1546.84,1767.83,1988.81,2430.78,2872.72,3314.69,3977.62
E07000181,Leafield,1386.63,1617.72,1848.84,2079.94,2542.16,3004.35,3466.57,4159.88
E07000181,Little Tew,1284.14,1498.15,1712.18,1926.2,2354.25,2782.28,3210.34,3852.4
E07000181,Minster Lovell,1320.58,1540.67,1760.77,1980.87,2421.07,2861.25,3301.45,3961.74
E07000181,Over Norton,1346.37,1570.75,1795.16,2019.55,2468.35,2917.12,3365.92,4039.1
E07000181,Ramsden,1350.1,1575.11,1800.13,2025.15,2475.19,2925.21,3375.25,4050.3
E07000181,Salford,1311.85,1530.48,1719.13,1967.77,2405.06,2842.33,3279.62,3935.54
E07000181,South Leigh,1306.83,1524.62,1742.44,1960.24,2395.86,2831.45,3267.07,3920.48
E07000181,Steeple Barton,1300.1,1516.78,1733.47,1950.15,2383.52,2816.88,3250.25,3900.3
E07000181,Taynton,1309.81,1528.1,1746.41,1964.71,2401.32,2837.91,3273.52,3929.42
E07000181,Woodstock,1328.22,1549.58,1770.96,1992.33,2435.08,2877.81,3320.55,3984.66
E07000181,Worton ,1275.85,1488.48,1701.13,1913.77,2339.06,2763.33,3189.62,3827.54
